category,name,mrp,discountpercent,availablequantity,discountedsellingprice,weightingms,outofstock,quantity,discountamount,discountpercent_calculated
Cooking Essentials,Popular Essentials Fried Gram (Bengal Gram),70.0,10,6,63.0,500,False,500,7.0,10.0
Cooking Essentials,Gits Jalebi with Maker Dessert Mix,75.0,16,6,63.0,100,False,100,12.0,16.0
Cooking Essentials,Popular Essentials Soya Beans ,80.0,6,6,75.0,500,False,500,5.0,6.25
Cooking Essentials,24 Mantra Organic Roasted Bengal Gram Dal,105.0,7,6,97.0,500,False,500,8.0,7.6190476190476195
Cooking Essentials,Keya Italian Seasoning,109.0,10,6,98.0,35,False,35,11.0,10.091743119266056
Cooking Essentials,MTR Idli/Dosa/Chilly Chutney Powder,115.0,0,3,115.0,200,False,200,0.0,0.0
Cooking Essentials,Delight Nuts Trail Mix ,399.0,25,6,299.0,200,False,200,100.0,25.062656641604008
Cooking Essentials,Praakritik Organic Chilka Moong Dal,120.0,10,6,108.0,500,False,500,12.0,10.0
Cooking Essentials,Smith & Jones Garlic & Herbs Masala Mix,99.0,0,6,99.0,75,False,75,0.0,0.0
Cooking Essentials,Eastern Tamarind,63.0,0,6,63.0,200,False,200,0.0,0.0
Cooking Essentials,Tong Garden Wasabi Coated Greenpeas Tin,200.0,11,6,178.0,180,False,180,22.0,11.0
Cooking Essentials,Flying Bird Pineapple Artifical Food Essence,50.0,2,6,49.0,20,False,20,1.0,2.0
Cooking Essentials,Mother's Recipe Tamarind Paste,50.0,2,2,49.0,200,False,200,1.0,2.0
Cooking Essentials,Japanese Choice Udon Noodles,295.0,9,6,266.0,250,False,250,29.0,9.830508474576272
Cooking Essentials,Pantai Coconut Milk,150.0,0,4,150.0,400,False,400,0.0,0.0
Cooking Essentials,Praakritik Organic Masoor Dal,130.0,10,6,116.0,500,False,500,14.0,10.76923076923077
Cooking Essentials,Popular Essentials Classic Sona Masuri Rice,430.0,10,6,387.0,5000,False,5,43.0,10.0
Cooking Essentials,Popular Essentials Salted Murmure ,70.0,18,6,57.0,400,False,400,13.0,18.571428571428573
Cooking Essentials,Oleev Active Oil (Pouch),265.0,9,6,239.0,1000,False,1,26.0,9.811320754716983
Cooking Essentials,Delight Nuts Dried Blueberries ,540.0,20,6,432.0,150,False,150,108.0,20.0
Cooking Essentials,Popular Essentials Double Beans White,60.0,10,6,54.0,250,False,250,6.0,10.0
Cooking Essentials,Delight Nuts Almond Natural ,349.0,20,6,279.0,200,False,200,70.0,20.057306590257877
Cooking Essentials,Praakritik Organic Jaggery,160.0,6,6,150.0,900,False,900,10.0,6.25
